id_inventario;id_producto;fecha_ingreso;id_local;cantidad_stock
1;1;20/11/2020 00:00;1;32
2;2;8/7/2019 00:00;2;22
3;3;1/7/2022 00:00;3;27
4;4;16/7/2021 00:00;4;46
5;5;30/7/2021 00:00;5;18
6;6;11/12/2021 00:00;6;35
7;7;28/11/2021 00:00;7;30
8;8;24/2/2019 00:00;8;48
9;9;9/3/2022 00:00;9;50
10;10;24/12/2021 00:00;10;46
11;11;15/11/2021 00:00;11;27
12;12;10/3/2020 00:00;12;15
13;13;27/3/2022 00:00;13;47
14;14;29/3/2019 00:00;14;35
15;15;8/2/2020 00:00;15;20
16;16;2/6/2022 00:00;16;41
17;17;9/4/2020 00:00;17;32
18;18;23/10/2021 00:00;18;25
19;19;29/7/2019 00:00;19;23
20;20;16/1/2019 00:00;20;19
21;21;24/6/2022 00:00;21;29
22;22;11/2/2020 00:00;22;48
23;23;4/8/2020 00:00;23;18
24;24;20/3/2019 00:00;24;37
25;25;31/1/2021 00:00;25;15
26;26;29/1/2021 00:00;26;43
27;27;1/12/2021 00:00;27;27
28;28;13/12/2021 00:00;28;36
29;29;28/10/2020 00:00;29;37
30;30;24/7/2019 00:00;30;32
31;31;3/12/2019 00:00;31;20
32;32;31/7/2020 00:00;32;49
33;33;23/9/2022 00:00;33;45
34;34;11/11/2021 00:00;34;23
35;35;3/2/2022 00:00;35;41
36;36;12/11/2021 00:00;36;37
37;37;18/3/2022 00:00;37;44
38;38;30/5/2020 00:00;38;22
39;39;19/3/2020 00:00;39;41
40;40;15/8/2019 00:00;40;16
41;41;14/5/2022 00:00;41;18
42;42;8/12/2019 00:00;42;22
43;43;24/2/2022 00:00;43;35
44;44;26/12/2020 00:00;44;19
45;45;12/6/2022 00:00;45;41
46;46;25/12/2020 00:00;46;34
47;47;15/10/2020 00:00;47;44
48;48;9/2/2021 00:00;48;16
49;49;12/10/2021 00:00;49;21
50;19;8/8/2020 00:00;50;19
51;43;15/9/2020 00:00;51;30
52;35;11/7/2022 00:00;52;22
53;44;14/6/2021 00:00;53;46
54;30;8/10/2020 00:00;54;35
55;5;21/3/2021 00:00;55;32
56;34;6/11/2019 00:00;56;46
57;11;15/5/2020 00:00;57;43
58;11;22/9/2021 00:00;58;18
59;3;21/8/2021 00:00;59;30
60;1;20/3/2019 00:00;60;20
61;16;16/11/2020 00:00;61;39
62;4;4/2/2021 00:00;62;30
63;24;21/4/2020 00:00;63;17
64;31;27/4/2019 00:00;64;21
65;26;4/4/2022 00:00;65;31
66;19;18/8/2021 00:00;66;32
67;45;12/8/2022 00:00;67;26
68;44;11/1/2021 00:00;68;17
69;10;23/9/2021 00:00;69;41
70;26;13/1/2020 00:00;70;36
71;8;8/5/2019 00:00;71;44
72;23;3/7/2020 00:00;72;27
73;33;29/2/2020 00:00;73;31
74;25;10/6/2020 00:00;74;28
75;28;21/10/2020 00:00;75;45
76;46;19/10/2019 00:00;76;22
77;7;2/7/2022 00:00;77;23
78;19;1/6/2020 00:00;78;21
79;37;4/4/2021 00:00;79;29
80;44;19/6/2020 00:00;80;46
81;13;5/4/2021 00:00;81;46
82;42;30/9/2022 00:00;82;35
83;14;3/5/2021 00:00;83;16
84;6;5/5/2022 00:00;84;50
85;46;22/9/2020 00:00;85;29
86;31;12/5/2020 00:00;86;43
87;43;1/5/2021 00:00;87;31
88;42;20/1/2021 00:00;88;15
89;36;3/3/2020 00:00;89;37
90;25;25/8/2020 00:00;90;41
91;16;5/6/2022 00:00;91;18
92;7;1/11/2021 00:00;92;37
93;19;1/6/2019 00:00;93;26
94;20;20/5/2021 00:00;94;39
95;29;8/7/2019 00:00;95;23
96;23;7/5/2021 00:00;96;50
97;39;20/1/2019 00:00;97;37
98;18;6/9/2022 00:00;98;43
99;24;15/7/2019 00:00;99;18
100;32;28/4/2021 00:00;100;31
101;18;5/1/2019 00:00;101;22
102;21;6/10/2020 00:00;102;39
103;5;14/3/2019 00:00;103;19
104;9;18/1/2019 00:00;104;49
105;38;25/12/2021 00:00;105;22
106;8;29/5/2022 00:00;106;32
107;34;15/9/2021 00:00;107;27
108;29;26/6/2021 00:00;108;19
109;26;22/7/2019 00:00;109;42
110;20;24/7/2021 00:00;110;23
111;12;25/7/2020 00:00;111;45
112;22;17/9/2019 00:00;112;16
113;12;4/4/2020 00:00;113;30
114;31;3/5/2021 00:00;114;26
115;30;16/5/2020 00:00;115;29
116;28;13/8/2020 00:00;116;23
117;43;26/8/2019 00:00;117;25
118;44;27/7/2020 00:00;118;35
