id_inventario,id_producto,fecha_ingreso,id_local,cantidad_stock
1,1,2020-11-20 06:05:14,1,32
2,2,2019-07-08 05:33:15,2,22
3,3,2022-07-01 23:10:49,3,27
4,4,2021-07-16 16:56:49,4,46
5,5,2021-07-30 09:06:25,5,18
6,6,2021-12-11 07:22:54,6,35
7,7,2021-11-28 11:48:33,7,30
8,8,2019-02-24 00:45:41,8,48
9,9,2022-03-09 01:28:28,9,50
10,10,2021-12-24 00:09:50,10,46
11,11,2021-11-15 02:53:09,11,27
12,12,2020-03-10 09:19:08,12,15
13,13,2022-03-27 08:09:12,13,47
14,14,2019-03-29 01:09:01,14,35
15,15,2020-02-08 20:08:26,15,20
16,16,2022-06-02 08:28:01,16,41
17,17,2020-04-09 14:04:02,17,32
18,18,2021-10-23 12:39:14,18,25
19,19,2019-07-29 12:54:35,19,23
20,20,2019-01-16 00:15:27,20,19
21,21,2022-06-24 01:03:41,21,29
22,22,2020-02-11 11:41:54,22,48
23,23,2020-08-04 19:38:40,23,18
24,24,2019-03-20 02:42:33,24,37
25,25,2021-01-31 04:21:06,25,15
26,26,2021-01-29 11:32:49,26,43
27,27,2021-12-01 16:53:04,27,27
28,28,2021-12-13 14:20:11,28,36
29,29,2020-10-28 06:14:18,29,37
30,30,2019-07-24 15:53:42,30,32
31,31,2019-12-03 07:17:46,31,20
32,32,2020-07-31 20:52:07,32,49
33,33,2022-09-23 12:32:34,33,45
34,34,2021-11-11 16:30:35,34,23
35,35,2022-02-03 00:52:49,35,41
36,36,2021-11-12 20:49:40,36,37
37,37,2022-03-18 12:44:08,37,44
38,38,2020-05-30 02:14:14,38,22
39,39,2020-03-19 15:12:13,39,41
40,40,2019-08-15 23:16:49,40,16
41,41,2022-05-14 17:14:46,41,18
42,42,2019-12-08 09:14:27,42,22
43,43,2022-02-24 06:42:58,43,35
44,44,2020-12-26 14:27:32,44,19
45,45,2022-06-12 16:39:57,45,41
46,46,2020-12-25 01:44:58,46,34
47,47,2020-10-15 04:34:29,47,44
